datetime,주오염물질,등급,지수,등급,PM10,등급,PM2.5,등급,오존,등급,이산화질소,등급,일산화탄소,등급,아황산가스
2024-10-28:11,PM2.5,보통,85,보통,47,보통,29,좋음,0.0266,좋음,0.0154,좋음,0.58,좋음,0.0013
2024-10-28:10,PM2.5,보통,87,보통,49,보통,30,좋음,0.022,좋음,0.0173,좋음,0.64,좋음,0.0013
2024-10-28:09,PM2.5,보통,87,보통,47,보통,30,좋음,0.019,좋음,0.0187,좋음,0.69,좋음,0.0014
2024-10-28:08,PM2.5,보통,87,보통,46,보통,30,좋음,0.0185,좋음,0.0206,좋음,0.73,좋음,0.0015
2024-10-28:07,PM2.5,보통,87,보통,45,보통,30,좋음,0.0114,좋음,0.0245,좋음,0.75,좋음,0.0015
2024-10-28:06,PM2.5,보통,85,보통,43,보통,29,좋음,0.021,좋음,0.0159,좋음,0.71,좋음,0.0014
2024-10-28:05,PM2.5,보통,82,보통,43,보통,28,좋음,0.0221,좋음,0.0133,좋음,0.69,좋음,0.0014
2024-10-28:04,PM2.5,보통,82,보통,41,보통,28,좋음,0.0177,좋음,0.0155,좋음,0.67,좋음,0.0014
2024-10-28:03,PM2.5,보통,79,보통,40,보통,27,좋음,0.0208,좋음,0.0158,좋음,0.68,좋음,0.0015
2024-10-28:02,PM2.5,보통,79,보통,39,보통,27,좋음,0.0036,좋음,0.0258,좋음,0.78,좋음,0.0015
2024-10-28:01,PM2.5,보통,79,보통,38,보통,27,좋음,0.0091,좋음,0.0232,좋음,0.79,좋음,0.0016
2024-10-27:24,PM2.5,보통,77,보통,39,보통,26,좋음,0.005,좋음,0.026,좋음,0.84,좋음,0.0015
2024-10-27:23,PM2.5,보통,77,보통,40,보통,26,좋음,0.0096,좋음,0.0255,좋음,0.83,좋음,0.0015
2024-10-27:22,PM2.5,보통,77,보통,40,보통,26,좋음,0.0182,좋음,0.0215,좋음,0.82,좋음,0.0017
2024-10-27:21,PM2.5,보통,74,보통,38,보통,25,좋음,0.0246,좋음,0.0178,좋음,0.77,좋음,0.0018
2024-10-27:20,PM2.5,보통,72,보통,35,보통,24,좋음,0.0287,좋음,0.0152,좋음,0.74,좋음,0.0021
2024-10-27:19,PM2.5,보통,61,좋음,30,보통,20,보통,0.0326,좋음,0.0145,좋음,0.72,좋음,0.0024
2024-10-27:18,PM2.5,보통,56,좋음,26,보통,18,보통,0.0366,좋음,0.0137,좋음,0.67,좋음,0.0022
2024-10-27:17,오존,보통,63,좋음,24,보통,16,보통,0.045,좋음,0.0106,좋음,0.6,좋음,0.002
2024-10-27:16,오존,좋음,69,좋음,23,좋음,15,보통,0.0518,좋음,0.0097,좋음,0.5,좋음,0.0019
2024-10-27:15,오존,좋음,70,좋음,21,좋음,14,보통,0.0534,좋음,0.0095,좋음,0.47,좋음,0.0018
2024-10-27:14,오존,좋음,69,좋음,20,좋음,12,보통,0.0517,좋음,0.0096,좋음,0.48,좋음,0.0018
2024-10-27:13,오존,좋음,67,좋음,18,좋음,11,보통,0.0496,좋음,0.0102,좋음,0.51,좋음,0.0024
2024-10-27:12,오존,좋음,61,좋음,16,좋음,11,보통,0.0426,좋음,0.0103,좋음,0.5,좋음,0.0022
2024-10-27:11,오존,좋음,52,좋음,15,좋음,10,보통,0.0313,좋음,0.0115,좋음,0.52,좋음,0.0018
